DISTRICT NAME,GDP (in Rs. Cr.)|1999-00,GDP (in Rs. Cr.)|2000-01,GDP (in Rs. Cr.)|2001-02,GDP (in Rs. Cr.)|2002-03,GDP (in Rs. Cr.)|2003-04,GDP (in Rs. Cr.)|2004-05,GDP (in Rs. Cr.)|2005-06,GDP (in Rs. Cr.)|2006-07,GDP (in Rs. Cr.)|2007-08,GDP (in Rs. Cr.)|2008-09,GDP (in Rs. Cr.)|2009-10,GDP (in Rs. Cr.)|2010-11,GDP (in Rs. Cr.)|2011-12,GDP (in Rs. Cr.)|2012-13,Growth Rate % (YoY)|2000-01,Growth Rate % (YoY)|2001-02,Growth Rate % (YoY)|2002-03,Growth Rate % (YoY)|2003-04,Growth Rate % (YoY)|2004-05,Growth Rate % (YoY)|2005-06,Growth Rate % (YoY)|2006-07,Growth Rate % (YoY)|2007-08,Growth Rate % (YoY)|2008-09,Growth Rate % (YoY)|2009-10,Growth Rate % (YoY)|2010-11,Growth Rate % (YoY)|2011-12,Growth Rate % (YoY)|2012-13,STATE NAME
JAMUI,624.65,662.25,643.55,678.19,695.09,1076.86,1127.744166,1219.050942,1310.123354,1370.210481,1489.100627,90.21457633,NA,NA,6.019370848,-2.823707059,5.382643151,2.491927041,6.87680732,4.725235066,8.096408643,7.470763352,4.586371739,8.676779806,-93.94167361,NA,NA,BIHAR
KATIHAR,1191.06,1569.8,1417.85,1625.86,1519.01,2012.32,1965.255749,2190.462411,2294.948917,2483.778661,2695.954381,160.2101012,NA,NA,31.79856598,-9.679577016,14.67080439,-6.57190656,14.81886229,-2.338805512,11.45940735,4.770066146,8.228058738,8.542456833,-94.05738827,NA,NA,BIHAR
KHAGARIA,631.9,694.8,668.87,734.22,757.99,906.99,942.2348682,1065.049145,1190.141634,1258.083158,1309.302926,67.86164383,NA,NA,9.954106662,-3.732009211,9.770209458,3.237449266,12.07139936,3.885915853,13.03435918,11.7452316,5.708692294,4.071254556,-94.81696386,NA,NA,BIHAR
LAKHISARAI,411.19,448.25,446.66,501.56,495.19,609.01,646.5262605,779.1505177,833.3549835,876.0611489,952.1142887,53.62168494,NA,NA,9.012865099,-0.354712772,12.29122823,-1.270037483,4.260990731,6.160204353,20.51335967,6.956867075,5.124606709,8.681259277,-94.36814618,NA,NA,BIHAR
MADHEPURA,681.41,869.99,738.16,818.26,804.1,1062.6,1033.583342,1163.152969,1231.558236,1142.669937,1239.927528,71.537835,NA,NA,27.67496808,-15.15304774,10.85130595,-1.730501308,10.15296605,-2.73072254,12.53596316,5.881020659,-7.217547366,8.511433494,-94.23048256,NA,NA,BIHAR
MADHUBANI,1561.3,2529.11,1905.1,3099.41,1648.35,2660.89,2148.16459,2644.74729,2506.486635,3041.934586,3030.708739,230.5225392,NA,NA,61.98744636,-24.67310635,62.6901475,-46.81729749,57.64855765,-19.26894423,23.11660395,-5.227745431,21.36248979,-0.369036436,-92.39377456,NA,NA,BIHAR
MUNGER,958.73,996.76,1056.26,1058.4,1140.55,1406.39,1487.31202,1654.621314,1946.563909,2094.532177,2306.010574,178.5065469,NA,NA,3.966705955,5.969340664,0.202601632,7.761715797,5.011617202,5.753881956,11.24910519,17.64407314,7.601510929,10.09668883,-92.25907509,NA,NA,BIHAR
MUZAFFARPUR,2395.42,2542.23,2568.71,2773.48,2674.25,3500.3,3468.132881,3950.722889,4133.761298,4869.894233,5198.731428,400.1132661,NA,NA,6.128779087,1.041605205,7.971705642,-3.577815596,13.32186594,-0.918981762,13.91498032,4.633035865,17.80782397,6.752450448,-92.30363654,NA,NA,BIHAR
NALANDA,1269.13,1393.03,1336.64,1405.74,1425.31,1629.36,1769.335849,1950.131535,2106.732623,2308.549885,2500.325319,223.5927076,NA,NA,9.762593273,-4.048010452,5.169679196,1.392149331,-1.168166925,8.590848506,10.21827969,8.030283363,9.579633376,8.307181752,-91.05745537,NA,NA,BIHAR
NAWADA,810.4,859.67,859.99,931.53,942.44,1049.52,1113.72351,1330.263336,1430.032968,1554.817037,1636.777176,111.4477494,NA,NA,6.079713722,0.037223586,8.31870138,1.171191481,-3.305250202,6.11741649,19.44287115,7.499991087,8.725957476,5.271368752,-93.19102496,NA,NA,BIHAR
